AGE,COUNT,EVENT_TYPE,POPULATION,RACE,Non-Hispanic Race,RATE,SEX,SITE,YEAR
15-19,~,Mortality,1549474,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2019
20-24,~,Mortality,1616863,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2019
25-29,~,Mortality,1819126,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2019
30-34,~,Mortality,1605903,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2019
35-39,~,Mortality,1503039,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2019
40-44,~,Mortality,1378960,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2019
45-49,~,Mortality,1397992,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2019
5-9,~,Mortality,1522384,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2019
50-54,23,Mortality,1378162,Non-Hispanic,Non-Hispanic Black,1.7,Female,Oral Cavity and Pharynx,2019
55-59,38,Mortality,1429694,Non-Hispanic,Non-Hispanic Black,2.7,Female,Oral Cavity and Pharynx,2019
60-64,56,Mortality,1301491,Non-Hispanic,Non-Hispanic Black,4.3,Female,Oral Cavity and Pharynx,2019
65-69,38,Mortality,1043246,Non-Hispanic,Non-Hispanic Black,3.6,Female,Oral Cavity and Pharynx,2019
70-74,39,Mortality,756158,Non-Hispanic,Non-Hispanic Black,5.2,Female,Oral Cavity and Pharynx,2019
75-79,31,Mortality,507879,Non-Hispanic,Non-Hispanic Black,6.1,Female,Oral Cavity and Pharynx,2019
80-84,16,Mortality,341529,Non-Hispanic,Non-Hispanic Black,4.7,Female,Oral Cavity and Pharynx,2019
85+,29,Mortality,360220,Non-Hispanic,Non-Hispanic Black,8.1,Female,Oral Cavity and Pharynx,2019
<1,~,Mortality,292176,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2019
1-4,~,Mortality,1194292,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2020
10-14,~,Mortality,1558106,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2020
15-19,~,Mortality,1532441,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2020
20-24,~,Mortality,1610597,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2020
25-29,~,Mortality,1789798,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2020
30-34,~,Mortality,1669692,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2020
35-39,~,Mortality,1502992,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2020
40-44,~,Mortality,1414368,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2020
45-49,~,Mortality,1375619,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2020
5-9,~,Mortality,1525844,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2020
50-54,18,Mortality,1370203,Non-Hispanic,Non-Hispanic Black,1.3,Female,Oral Cavity and Pharynx,2020
55-59,43,Mortality,1421662,Non-Hispanic,Non-Hispanic Black,3,Female,Oral Cavity and Pharynx,2020
60-64,64,Mortality,1329313,Non-Hispanic,Non-Hispanic Black,4.8,Female,Oral Cavity and Pharynx,2020
65-69,49,Mortality,1077483,Non-Hispanic,Non-Hispanic Black,4.5,Female,Oral Cavity and Pharynx,2020
70-74,43,Mortality,806836,Non-Hispanic,Non-Hispanic Black,5.3,Female,Oral Cavity and Pharynx,2020
75-79,18,Mortality,526453,Non-Hispanic,Non-Hispanic Black,3.4,Female,Oral Cavity and Pharynx,2020
80-84,21,Mortality,351927,Non-Hispanic,Non-Hispanic Black,6,Female,Oral Cavity and Pharynx,2020
85+,27,Mortality,369171,Non-Hispanic,Non-Hispanic Black,7.3,Female,Oral Cavity and Pharynx,2020
<1,~,Mortality,289028,Non-Hispanic,Non-Hispanic Black,,Female,Oral Cavity and Pharynx,2020
1-4,~,Mortality,4042963,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2017
10-14,~,Mortality,5412786,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2017
15-19,~,Mortality,5648869,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2017
20-24,~,Mortality,5942177,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2017
25-29,~,Mortality,6432178,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2017
30-34,~,Mortality,6224741,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2017
35-39,~,Mortality,6056068,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2017
40-44,22,Mortality,5642750,Non-Hispanic,Non-Hispanic White,0.4,Female,Oral Cavity and Pharynx,2017
45-49,56,Mortality,6485078,Non-Hispanic,Non-Hispanic White,0.9,Female,Oral Cavity and Pharynx,2017
5-9,~,Mortality,5148121,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2017
50-54,110,Mortality,7087427,Non-Hispanic,Non-Hispanic White,1.6,Female,Oral Cavity and Pharynx,2017
55-59,211,Mortality,7823408,Non-Hispanic,Non-Hispanic White,2.7,Female,Oral Cavity and Pharynx,2017
60-64,249,Mortality,7469328,Non-Hispanic,Non-Hispanic White,3.3,Female,Oral Cavity and Pharynx,2017
65-69,290,Mortality,6586185,Non-Hispanic,Non-Hispanic White,4.4,Female,Oral Cavity and Pharynx,2017
70-74,278,Mortality,5272218,Non-Hispanic,Non-Hispanic White,5.3,Female,Oral Cavity and Pharynx,2017
75-79,285,Mortality,3712573,Non-Hispanic,Non-Hispanic White,7.7,Female,Oral Cavity and Pharynx,2017
80-84,274,Mortality,2676302,Non-Hispanic,Non-Hispanic White,10.2,Female,Oral Cavity and Pharynx,2017
85+,521,Mortality,3364977,Non-Hispanic,Non-Hispanic White,15.5,Female,Oral Cavity and Pharynx,2017
<1,~,Mortality,969160,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2017
1-4,~,Mortality,4003742,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2018
10-14,~,Mortality,5381445,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2018
15-19,~,Mortality,5601171,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2018
20-24,~,Mortality,5866121,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2018
25-29,~,Mortality,6406645,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2018
30-34,~,Mortality,6234442,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2018
35-39,~,Mortality,6142564,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2018
40-44,~,Mortality,5647073,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2018
45-49,45,Mortality,6338665,Non-Hispanic,Non-Hispanic White,0.7,Female,Oral Cavity and Pharynx,2018
5-9,~,Mortality,5101472,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2018
50-54,110,Mortality,6819533,Non-Hispanic,Non-Hispanic White,1.6,Female,Oral Cavity and Pharynx,2018
55-59,219,Mortality,7729568,Non-Hispanic,Non-Hispanic White,2.8,Female,Oral Cavity and Pharynx,2018
60-64,285,Mortality,7552908,Non-Hispanic,Non-Hispanic White,3.8,Female,Oral Cavity and Pharynx,2018
65-69,273,Mortality,6655085,Non-Hispanic,Non-Hispanic White,4.1,Female,Oral Cavity and Pharynx,2018
70-74,288,Mortality,5463691,Non-Hispanic,Non-Hispanic White,5.3,Female,Oral Cavity and Pharynx,2018
75-79,261,Mortality,3936262,Non-Hispanic,Non-Hispanic White,6.6,Female,Oral Cavity and Pharynx,2018
80-84,300,Mortality,2726222,Non-Hispanic,Non-Hispanic White,11,Female,Oral Cavity and Pharynx,2018
85+,541,Mortality,3350573,Non-Hispanic,Non-Hispanic White,16.1,Female,Oral Cavity and Pharynx,2018
<1,~,Mortality,952533,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2018
1-4,~,Mortality,3944691,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2019
10-14,~,Mortality,5314734,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2019
15-19,~,Mortality,5559225,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2019
20-24,~,Mortality,5803149,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2019
25-29,~,Mortality,6343464,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2019
30-34,~,Mortality,6284268,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2019
35-39,18,Mortality,6186051,Non-Hispanic,Non-Hispanic White,0.3,Female,Oral Cavity and Pharynx,2019
40-44,23,Mortality,5702262,Non-Hispanic,Non-Hispanic White,0.4,Female,Oral Cavity and Pharynx,2019
45-49,42,Mortality,6137315,Non-Hispanic,Non-Hispanic White,0.7,Female,Oral Cavity and Pharynx,2019
5-9,~,Mortality,5089518,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2019
50-54,107,Mortality,6603076,Non-Hispanic,Non-Hispanic White,1.6,Female,Oral Cavity and Pharynx,2019
55-59,203,Mortality,7630885,Non-Hispanic,Non-Hispanic White,2.7,Female,Oral Cavity and Pharynx,2019
60-64,263,Mortality,7587338,Non-Hispanic,Non-Hispanic White,3.5,Female,Oral Cavity and Pharynx,2019
65-69,287,Mortality,6768292,Non-Hispanic,Non-Hispanic White,4.2,Female,Oral Cavity and Pharynx,2019
70-74,335,Mortality,5695244,Non-Hispanic,Non-Hispanic White,5.9,Female,Oral Cavity and Pharynx,2019
75-79,329,Mortality,4095071,Non-Hispanic,Non-Hispanic White,8,Female,Oral Cavity and Pharynx,2019
80-84,304,Mortality,2793122,Non-Hispanic,Non-Hispanic White,10.9,Female,Oral Cavity and Pharynx,2019
85+,560,Mortality,3333239,Non-Hispanic,Non-Hispanic White,16.8,Female,Oral Cavity and Pharynx,2019
<1,~,Mortality,933454,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2019
1-4,~,Mortality,3864947,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2020
10-14,~,Mortality,5258373,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2020
15-19,~,Mortality,5493851,Non-Hispanic,Non-Hispanic White,,Female,Oral Cavity and Pharynx,2020
1-4,~,Mortality,8187491,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2017
10-14,~,Mortality,10609152,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2017
15-19,~,Mortality,10783133,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2017
20-24,~,Mortality,11314113,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2017
25-29,~,Mortality,11897087,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2017
30-34,24,Mortality,11081933,All Other Races,All Races,0.2,Male,Oral Cavity and Pharynx,2017
35-39,48,Mortality,10596983,All Other Races,All Races,0.5,Male,Oral Cavity and Pharynx,2017
40-44,95,Mortality,9718987,All Other Races,All Races,1,Male,Oral Cavity and Pharynx,2017
45-49,241,Mortality,10349982,All Other Races,All Races,2.3,Male,Oral Cavity and Pharynx,2017
5-9,~,Mortality,10382200,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2017
50-54,473,Mortality,10485450,All Other Races,All Races,4.5,Male,Oral Cavity and Pharynx,2017
55-59,890,Mortality,10670828,All Other Races,All Races,8.3,Male,Oral Cavity and Pharynx,2017
60-64,1159,Mortality,9529117,All Other Races,All Races,12.2,Male,Oral Cavity and Pharynx,2017
65-69,1226,Mortality,7909189,All Other Races,All Races,15.5,Male,Oral Cavity and Pharynx,2017
70-74,1027,Mortality,5931096,All Other Races,All Races,17.3,Male,Oral Cavity and Pharynx,2017
75-79,736,Mortality,3889506,All Other Races,All Races,18.9,Male,Oral Cavity and Pharynx,2017
80-84,584,Mortality,2504286,All Other Races,All Races,23.3,Male,Oral Cavity and Pharynx,2017
85+,707,Mortality,2287279,All Other Races,All Races,30.9,Male,Oral Cavity and Pharynx,2017
<1,~,Mortality,1985633,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2017
1-4,~,Mortality,8156823,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2018
10-14,~,Mortality,10663948,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2018
15-19,~,Mortality,10762990,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2018
20-24,~,Mortality,11172233,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2018
25-29,~,Mortality,12011397,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2018
30-34,29,Mortality,11186277,All Other Races,All Races,0.3,Male,Oral Cavity and Pharynx,2018
35-39,52,Mortality,10781732,All Other Races,All Races,0.5,Male,Oral Cavity and Pharynx,2018
40-44,75,Mortality,9781751,All Other Races,All Races,0.8,Male,Oral Cavity and Pharynx,2018
45-49,217,Mortality,10249333,All Other Races,All Races,2.1,Male,Oral Cavity and Pharynx,2018
5-9,~,Mortality,10324741,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2018
50-54,479,Mortality,10262878,All Other Races,All Races,4.7,Male,Oral Cavity and Pharynx,2018
55-59,875,Mortality,10658259,All Other Races,All Races,8.2,Male,Oral Cavity and Pharynx,2018
60-64,1175,Mortality,9717646,All Other Races,All Races,12.1,Male,Oral Cavity and Pharynx,2018
65-69,1261,Mortality,8022909,All Other Races,All Races,15.7,Male,Oral Cavity and Pharynx,2018
70-74,1040,Mortality,6200020,All Other Races,All Races,16.8,Male,Oral Cavity and Pharynx,2018
75-79,772,Mortality,4134784,All Other Races,All Races,18.7,Male,Oral Cavity and Pharynx,2018
80-84,580,Mortality,2584496,All Other Races,All Races,22.4,Male,Oral Cavity and Pharynx,2018
85+,644,Mortality,2332518,All Other Races,All Races,27.6,Male,Oral Cavity and Pharynx,2018
<1,~,Mortality,1955778,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2018
1-4,~,Mortality,8080265,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2019
10-14,~,Mortality,10629162,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2019
15-19,~,Mortality,10752848,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2019
20-24,~,Mortality,11066850,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2019
25-29,~,Mortality,12020738,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2019
30-34,25,Mortality,11370500,All Other Races,All Races,0.2,Male,Oral Cavity and Pharynx,2019
35-39,46,Mortality,10892543,All Other Races,All Races,0.4,Male,Oral Cavity and Pharynx,2019
40-44,82,Mortality,9906220,All Other Races,All Races,0.8,Male,Oral Cavity and Pharynx,2019
45-49,199,Mortality,10082635,All Other Races,All Races,2,Male,Oral Cavity and Pharynx,2019
5-9,~,Mortality,10335306,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2019
50-54,403,Mortality,10082296,All Other Races,All Races,4,Male,Oral Cavity and Pharynx,2019
55-59,841,Mortality,10639047,All Other Races,All Races,7.9,Male,Oral Cavity and Pharynx,2019
60-64,1237,Mortality,9851308,All Other Races,All Races,12.6,Male,Oral Cavity and Pharynx,2019
65-69,1247,Mortality,8191801,All Other Races,All Races,15.2,Male,Oral Cavity and Pharynx,2019
70-74,1108,Mortality,6499159,All Other Races,All Races,17,Male,Oral Cavity and Pharynx,2019
75-79,860,Mortality,4317707,All Other Races,All Races,19.9,Male,Oral Cavity and Pharynx,2019
80-84,608,Mortality,2678743,All Other Races,All Races,22.7,Male,Oral Cavity and Pharynx,2019
85+,696,Mortality,2374207,All Other Races,All Races,29.3,Male,Oral Cavity and Pharynx,2019
<1,~,Mortality,1921001,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2019
1-4,~,Mortality,7953016,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2020
10-14,~,Mortality,10594968,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2020
15-19,~,Mortality,10694597,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2020
20-24,~,Mortality,11032846,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2020
25-29,~,Mortality,11875126,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2020
30-34,21,Mortality,11569253,All Other Races,All Races,0.2,Male,Oral Cavity and Pharynx,2020
35-39,42,Mortality,10937588,All Other Races,All Races,0.4,Male,Oral Cavity and Pharynx,2020
40-44,71,Mortality,10108280,All Other Races,All Races,0.7,Male,Oral Cavity and Pharynx,2020
45-49,190,Mortality,9872904,All Other Races,All Races,1.9,Male,Oral Cavity and Pharynx,2020
5-9,~,Mortality,10346753,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2020
50-54,426,Mortality,10051788,All Other Races,All Races,4.2,Male,Oral Cavity and Pharynx,2020
55-59,879,Mortality,10511928,All Other Races,All Races,8.4,Male,Oral Cavity and Pharynx,2020
60-64,1224,Mortality,9977506,All Other Races,All Races,12.3,Male,Oral Cavity and Pharynx,2020
65-69,1302,Mortality,8390351,All Other Races,All Races,15.5,Male,Oral Cavity and Pharynx,2020
70-74,1195,Mortality,6793189,All Other Races,All Races,17.6,Male,Oral Cavity and Pharynx,2020
75-79,903,Mortality,4473684,All Other Races,All Races,20.2,Male,Oral Cavity and Pharynx,2020
80-84,616,Mortality,2749591,All Other Races,All Races,22.4,Male,Oral Cavity and Pharynx,2020
85+,724,Mortality,2414693,All Other Races,All Races,30,Male,Oral Cavity and Pharynx,2020
<1,~,Mortality,1908141,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2020
1-4,~,Mortality,2069984,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2017
10-14,~,Mortality,2632455,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2017
15-19,~,Mortality,2492409,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2017
20-24,~,Mortality,2475880,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2017
25-29,~,Mortality,2499076,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2017
30-34,~,Mortality,2365510,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2017
35-39,~,Mortality,2266766,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2017
40-44,~,Mortality,2036750,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2017
45-49,19,Mortality,1843707,Hispanic of any race,Hispanic of any race,1,Male,Oral Cavity and Pharynx,2017
5-9,~,Mortality,2661509,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2017
50-54,31,Mortality,1587205,Hispanic of any race,Hispanic of any race,2,Male,Oral Cavity and Pharynx,2017
55-59,55,Mortality,1288774,Hispanic of any race,Hispanic of any race,4.3,Male,Oral Cavity and Pharynx,2017
60-64,56,Mortality,963578,Hispanic of any race,Hispanic of any race,5.8,Male,Oral Cavity and Pharynx,2017
65-69,72,Mortality,684872,Hispanic of any race,Hispanic of any race,10.5,Male,Oral Cavity and Pharynx,2017
70-74,50,Mortality,460025,Hispanic of any race,Hispanic of any race,10.9,Male,Oral Cavity and Pharynx,2017
75-79,44,Mortality,296554,Hispanic of any race,Hispanic of any race,14.8,Male,Oral Cavity and Pharynx,2017
80-84,41,Mortality,192184,Hispanic of any race,Hispanic of any race,21.3,Male,Oral Cavity and Pharynx,2017
85+,34,Mortality,165344,Hispanic of any race,Hispanic of any race,20.6,Male,Oral Cavity and Pharynx,2017
<1,~,Mortality,507503,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2017
1-4,~,Mortality,2076331,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2018
10-14,~,Mortality,2693189,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2018
15-19,~,Mortality,2532487,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2018
20-24,~,Mortality,2477040,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2018
25-29,~,Mortality,2539637,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2018
30-34,~,Mortality,2388684,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2018
35-39,~,Mortality,2310232,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2018
40-44,~,Mortality,2078375,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2018
45-49,18,Mortality,1880932,Hispanic of any race,Hispanic of any race,1,Male,Oral Cavity and Pharynx,2018
5-9,~,Mortality,2641842,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2018
50-54,35,Mortality,1629186,Hispanic of any race,Hispanic of any race,2.1,Male,Oral Cavity and Pharynx,2018
